Year,Drug Name,Dosage form and strength,Unit,Ceiling Price,SO Number,SO date,WPI
2025,Clotrimazole,Lotion 1%,1 ML,3.96,1489(E),27-03-2025,1.74028%
2025,Clotrimazole,Pessary 100 mg,1 Pessary,10.18,1489(E),27-03-2025,1.74028%
2025,Clotrimazole,Drops 1%,1 ML,3.43,1489(E),27-03-2025,1.74028%
2025,Clotrimazole,Cream 1%,1 GM,3.05,1489(E),27-03-2025,1.74028%
2025,Cloxacillin,Capsule 500 mg,1 Capsule,2.42,1489(E),27-03-2025,1.74028%
2025,Cloxacillin,Capsule 250 mg,1 Capsule,1.43,1489(E),27-03-2025,1.74028%
2025,Clozapine,Tablet 25 mg,1 Tablet,2.83,1489(E),27-03-2025,1.74028%
2025,Clozapine,Tablet 50 mg,1 Tablet,5.28,1489(E),27-03-2025,1.74028%
2025,Clozapine,Tablet 100 mg,1 Tablet,8.60,1489(E),27-03-2025,1.74028%
2025,Colchicine,Tablet 0.5 mg,1 Tablet,3.32,1489(E),27-03-2025,1.74028%
2025,Co-trimoxazole [Sulphamethoxazole (A) + Trimethoprim (B)],Tablet 400 mg (A) + 80 mg (B),1 Tablet,0.92,1489(E),27-03-2025,1.74028%
2025,Co-trimoxazole [Sulphamethoxazole (A) + Trimethoprim (B)],Oral liquid 200 mg (A) + 40 mg (B) / 5 mL (p),1 ML,0.36,1489(E),27-03-2025,1.74028%
2025,Co-trimoxazole [Sulphamethoxazole (A) + Trimethoprim (B)],Tablet 800 mg (A) + 160 mg (B),1 Tablet,2.34,1489(E),27-03-2025,1.74028%
2025,Cyclophosphamide,Powder for Injection 500 mg,1 Vial,74.76,1489(E),27-03-2025,1.74028%
2025,Cyclophosphamide,Tablet 50 mg,1 Tablet,3.79,1489(E),27-03-2025,1.74028%
2025,Cycloserine,Capsule 250 mg,1 Capsule,60.22,1489(E),27-03-2025,1.74028%
2025,Cycloserine,Tablet 250 mg,1 Tablet,46.81,1489(E),27-03-2025,1.74028%
2025,Cyclosporine,Capsule 25 mg,1 Capsule,28.53,1489(E),27-03-2025,1.74028%
2025,Cyclosporine,Oral liquid 100 mg / mL (p),1 ML,81.98,1489(E),27-03-2025,1.74028%
2025,Cyclosporine,Capsule 50 mg,1 Capsule,56.07,1489(E),27-03-2025,1.74028%
2025,Cyclosporine,Capsule 100 mg,1 Capsule,104.91,1489(E),27-03-2025,1.74028%
2025,Cytosine arabinoside,Injection 1000 mg / vial,1 Vial,1150.00,1489(E),27-03-2025,1.74028%
2025,Cytosine arabinoside,Injection 100 mg / vial,1 Vial,142.02,1489(E),27-03-2025,1.74028%
2025,Cytosine arabinoside,Injection 500 mg / vial,1 Vial,545.66,1489(E),27-03-2025,1.74028%
2025,Dabigatran,Capsule 110 mg,1 Capsule,32.36,1489(E),27-03-2025,1.74028%
2025,Dabigatran,Capsule 150 mg,1 Capsule,36.21,1489(E),27-03-2025,1.74028%
2025,Dacarbazine,Powder for Injection 200 mg,1 Vial,388.39,1489(E),27-03-2025,1.74028%
2025,Dacarbazine,Powder for Injection 500 mg,1 Vial,527.86,1489(E),27-03-2025,1.74028%
2025,Daclatasvir,Tablet 60 mg,1 Tablet,203.45,1489(E),27-03-2025,1.74028%
2025,Dapsone,Tablet 100 mg,1 Tablet,0.42,1489(E),27-03-2025,1.74028%
2025,Darunavir,Tablet 600 mg,1 Tablet,157.13,1489(E),27-03-2025,1.74028%
2025,Darunavir (A) + Ritonavir (B),Tablet 600 mg (A) + 100 mg (B),1 Tablet,149.01,1489(E),27-03-2025,1.74028%
2025,Desferrioxamine,Powder for Injection 500 mg,1 Vial,287.90,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Tablet 0.5 mg,1 Tablet,0.22,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Tablet 4 mg,1 Tablet,4.70,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Injection 4 mg / mL (2 ML),1 ML,5.18,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Injection 4 mg / mL (5 ML),1 ML,2.61,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Injection 4 mg / mL (Pack of 10 ML),1 ML,1.60,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Injection 4 mg / mL (Pack of 20 ML),1 ML,1.37,1489(E),27-03-2025,1.74028%
2025,Dexamethasone,Injection 4 mg / mL (Pack of 30 ML),1 ML,0.92,1489(E),27-03-2025,1.74028%
2025,Diazepam,Tablet 5 mg,1 Tablet,1.66,1489(E),27-03-2025,1.74028%
2025,Diazepam,Injection 5 mg / mL,1 ML,5.64,1489(E),27-03-2025,1.74028%
2025,Diazepam,Tablet 2 mg,1 Tablet,1.47,1489(E),27-03-2025,1.74028%
2025,Diazepam,Suppository 5 mg,1 Suppository,6.30,1489(E),27-03-2025,1.74028%
2025,Diclofenac,Tablet 50 mg,1 Tablet,2.09,1489(E),27-03-2025,1.74028%
2025,Diclofenac,Injection 25 mg / mL,1 ML,1.72,1489(E),27-03-2025,1.74028%
2025,Dicyclomine,Injection 10 mg / mL (Less than 10 ML),1 ML,3.38,1489(E),27-03-2025,1.74028%
